,,,Slide ID,c,e,f,g,d,a,b
,,,Antibody Name,c,e,f,g,d,a,b
,,,HUGO ID,c,e,f,g,d,a,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,36.86868686868687,0.21020052211451162,0.25038525131420525,0.42095391855811265,0.33556089194331973,0.1948965387970023,0.7280807741935993,0.21701357338280292
C1,no,Insulin,37.37373737373738,0.21020052211282197,0.2503852513146699,0.42095391855811864,0.33556089194292243,0.1948965387967055,0.7280807741936051,0.21701357338280564
C1,no,Insulin,37.87878787878788,0.2102005221111323,0.25038525131513456,0.42095391855812464,0.3355608919425252,0.19489653879640864,0.7280807741936107,0.21701357338280836
C1,no,Insulin,38.38383838383839,0.21020052210944262,0.2503852513155992,0.4209539185581306,0.3355608919421279,0.1948965387961118,0.7280807741936165,0.2170135733828111
C1,no,Insulin,38.88888888888889,0.21020052210775297,0.2503852513160638,0.4209539185581366,0.33556089194173067,0.19489653879581495,0.7280807741936222,0.21701357338281382
C1,no,Insulin,39.3939393939394,0.2102005221060633,0.2503852513165285,0.42095391855814257,0.33556089194133343,0.1948965387955181,0.7280807741936279,0.21701357338281654
C1,no,Insulin,39.8989898989899,0.21020052210437365,0.25038525131699313,0.4209539185581485,0.33556089194093613,0.19489653879522129,0.7280807741936336,0.21701357338281926
C1,no,Insulin,40.40404040404041,0.21020052210268397,0.25038525131745776,0.4209539185581545,0.3355608919405389,0.19489653879492444,0.7280807741936394,0.21701357338282198
C1,no,Insulin,40.909090909090914,0.2102005221009943,0.25038525131792244,0.4209539185581605,0.3355608919401416,0.1948965387946276,0.7280807741936451,0.21701357338282473
C1,no,Insulin,41.41414141414142,0.21020052209930465,0.25038525131838707,0.42095391855816644,0.33556089193974437,0.19489653879433075,0.7280807741936508,0.21701357338282745
C1,no,Insulin,41.919191919191924,0.21020052209761497,0.2503852513188517,0.42095391855817244,0.3355608919393471,0.1948965387940339,0.7280807741936566,0.21701357338283017
C1,no,Insulin,42.42424242424243,0.2102005220959253,0.2503852513193164,0.42095391855817843,0.33556089193894983,0.19489653879373706,0.7280807741936622,0.2170135733828329
C1,no,Insulin,42.929292929292934,0.21020052209423565,0.250385251319781,0.42095391855818437,0.33556089193855254,0.19489653879344024,0.728080774193668,0.21701357338283564
C1,no,Insulin,43.43434343434344,0.21020052209254597,0.25038525132024564,0.42095391855819037,0.3355608919381553,0.1948965387931434,0.7280807741936738,0.21701357338283836
C1,no,Insulin,43.939393939393945,0.2102005220908563,0.2503852513207103,0.4209539185581963,0.335560891937758,0.19489653879284655,0.7280807741936794,0.21701357338284108
C1,no,Insulin,44.44444444444445,0.21020052208916665,0.25038525132117495,0.4209539185582023,0.3355608919373608,0.1948965387925497,0.7280807741936852,0.2170135733828438
C1,no,Insulin,44.949494949494955,0.21020052208747697,0.25038525132163963,0.4209539185582083,0.33556089193696353,0.19489653879225285,0.7280807741936909,0.21701357338284655
C1,no,Insulin,45.45454545454546,0.21020052208578732,0.25038525132210426,0.42095391855821424,0.33556089193656624,0.19489653879195604,0.7280807741936967,0.21701357338284927
C1,no,Insulin,45.959595959595966,0.21020052208409765,0.2503852513225689,0.42095391855822023,0.335560891936169,0.1948965387916592,0.7280807741937023,0.217013573382852
C1,no,Insulin,46.46464646464647,0.21020052208240797,0.2503852513230336,0.4209539185582262,0.3355608919357717,0.19489653879136234,0.7280807741937081,0.2170135733828547
C1,no,Insulin,46.969696969696976,0.21020052208071832,0.2503852513234982,0.42095391855823217,0.3355608919353745,0.1948965387910655,0.7280807741937139,0.21701357338285743
C1,no,Insulin,47.47474747474748,0.21020052207902865,0.25038525132396283,0.42095391855823816,0.3355608919349772,0.19489653879076865,0.7280807741937195,0.21701357338286018
C1,no,Insulin,47.979797979797986,0.21020052207733897,0.2503852513244275,0.42095391855824416,0.33556089193457994,0.1948965387904718,0.7280807741937253,0.2170135733828629
C1,no,Insulin,48.484848484848484,0.21020052207564932,0.25038525132489214,0.4209539185582501,0.33556089193418265,0.194896538790175,0.728080774193731,0.21701357338286562
C1,no,Insulin,48.98989898989899,0.21020052207395964,0.2503852513253568,0.4209539185582561,0.3355608919337854,0.19489653878987814,0.7280807741937367,0.21701357338286834
C1,no,Insulin,49.494949494949495,0.21020052207227,0.25038525132582146,0.4209539185582621,0.3355608919333881,0.1948965387895813,0.7280807741937424,0.21701357338287108
C1,no,Insulin,50.0,0.2102005220713434,0.25038525132607636,0.4209539185582653,0.33556089193317096,0.194896538789419,0.7280807741937455,0.21701357338287258
